,codigo_ibge,nome,latitude,longitude,capital,codigo_uf
9,4200051,Abdon Batista,-27.6126,-51.0233,0,42
11,4200101,Abelardo Luz,-26.5716,-52.3229,0,42
43,4200200,Agrolândia,-27.4087,-49.821999999999996,0,42
44,4200309,Agronômica,-27.2662,-49.708,0,42
53,4200408,Água Doce,-26.9985,-51.5528,0,42
66,4200507,Águas de Chapecó,-27.0754,-52.9808,0,42
71,4200556,Águas Frias,-26.8794,-52.8568,0,42
73,4200606,Águas Mornas,-27.6963,-48.8243,0,42
114,4200705,Alfredo Wagner,-27.7001,-49.3273,0,42
147,4200754,Alto Bela Vista,-27.4333,-51.9044,0,42
224,4200804,Anchieta,-26.5382,-53.3319,0,42
237,4200903,Angelina,-27.5704,-48.9879,0,42
250,4201000,Anita Garibaldi,-27.6897,-51.1271,0,42
251,4201109,Anitápolis,-27.9012,-49.1316,0,42
259,4201208,Antônio Carlos,-27.5191,-48.766000000000005,0,42
280,4201257,Apiúna,-27.0375,-49.3885,0,42
291,4201273,Arabutã,-27.1587,-52.1423,0,42
339,4201307,Araquari,-26.3754,-48.7188,0,42
341,4201406,Araranguá,-28.9356,-49.4918,0,42
385,4201505,Armazém,-28.2448,-49.0215,0,42
399,4201604,Arroio Trinta,-26.9257,-51.3407,0,42
403,4201653,Arvoredo,-27.0748,-52.4543,0,42
405,4201703,Ascurra,-26.9548,-49.3783,0,42
419,4201802,Atalanta,-27.4219,-49.7789,0,42
433,4201901,Aurora,-27.3098,-49.6295,0,42
465,4201950,Balneário Arroio do Silva,-28.9806,-49.4237,0,42
466,4202057,Balneário Barra do Sul,-26.4597,-48.6123,0,42
467,4202008,Balneário Camboriú,-26.9926,-48.6352,0,42
468,4202073,Balneário Gaivota,-29.1527,-49.5841,0,42
469,4212809,Balneário Piçarras,-26.7639,-48.6717,0,42
471,4220000,Balneário Rincão,-28.8314,-49.2352,0,42
481,4202081,Bandeirante,-26.7705,-53.6413,0,42
506,4202099,Barra Bonita,-26.654,-53.44,0,42
536,4202107,Barra Velha,-26.636999999999997,-48.6933,0,42
578,4202131,Bela Vista do Toldo,-26.2746,-50.4664,0,42
589,4202156,Belmonte,-26.843000000000004,-53.5758,0,42
600,4202206,Benedito Novo,-26.781,-49.3593,0,42
624,4202305,Biguaçu,-27.496,-48.6598,0,42
631,4202404,Blumenau,-26.9155,-49.0709,0,42
658,4202438,Bocaina do Sul,-27.7455,-49.9423,0,42
671,4202503,Bom Jardim da Serra,-28.3377,-49.6373,0,42
674,4202537,Bom Jesus,-26.7326,-52.3919,0,42
689,4202578,Bom Jesus do Oeste,-26.6927,-53.0967,0,42
699,4202602,Bom Retiro,-27.799,-49.486999999999995,0,42
706,4202453,Bombinhas,-27.1382,-48.5146,0,42
738,4202701,Botuverá,-27.2007,-49.0689,0,42
740,4202800,Braço do Norte,-28.2681,-49.1701,0,42
741,4202859,Braço do Trombudo,-27.3586,-49.8821,0,42
788,4202875,Brunópolis,-27.3058,-50.8684,0,42
789,4202909,Brusque,-27.0977,-48.9107,0,42
833,4203006,Caçador,-26.7757,-51.012,0,42
